#########################################################
# NFL Teams / American Football Conference (AFC)

nyjets,       New York Jets|Jets,                    AFC East,  NYJ, city:newyork
newengland,   New England Patriots|New England|Patriots, AFC East,  NE_, city:boston
bufbills,      Buffalo Bills|Buffalo|Bills,            AFC East,  BUF, city:buffalo
miami,        Miami Dolphins|Miami|Dolphins,             AFC East,  MIA, city:miami

baltimore,    Baltimore Ravens|Ravens,    AFC North,  BAL,  city:baltimore
cincinnati,   Cincinnati Bengals|Bengals,  AFC North,  CIN,  city:cincinnati
steelers,     Pittsburgh Steelers|Steelers, AFC North,  PIT,  city:pittsburgh
cleveland,    Cleveland Browns|Browns,    AFC North,  CLE,  city:cleveland

houston,      Houston Texans|Texans,       AFC South,  HOU,  city:houston
indianapolis, Indianapolis Colts|Colts,   AFC South,  IND,  city:indianapolis
tennessee,    Tennessee Titans|Titans,     AFC South,  TEN,  city:nashville
jacksonville, Jacksonville Jaguars|Jaguars, AFC South,  JAC,  city:jacksonville

sandiego,     San Diego Chargers|San Diego|Chargers,       AFC West, SD_,  city:sandiego
denver,       Denver Broncos|Denver|Broncos,              AFC West, DEN,  city:denver
oakland,      Oakland Raiders|Oakland|Raiders,           AFC West, OAK,   city:oakland
kansascity,   Kansas City Chiefs|Kansas City|Chiefs, AFC West,  KC_, city:kansascity
